id,user,likes,dislikes,followers
3,vhowgego2,2962,315,13788
5,htacker4,2200,1656,19167
6,bhutchence5,2760,3362,12727
7,epetr6,2224,1463,18095
8,pcucinotta7,2615,919,19811
10,mduerden9,2138,704,15640
11,bdurstona,2935,1416,15675
17,dgifkinsg,2771,3458,14555
19,dmayoi,2482,3381,12024
24,asummersiden,2919,1181,10215
25,hdaykino,2001,505,13351
27,jlysterq,2783,3104,16263
29,gmerrgans,2426,1946,19062
31,mmaxweellu,2197,1529,12791
32,nthurlbeckv,2552,2091,15411
34,nlearnedx,2592,2902,17936
35,cmarshamy,2357,310,13713
36,flagez,2052,1094,16247
38,ayea11,2223,3383,10575
41,hdominetti14,2223,1987,16590
43,tpfeffer16,2551,2780,10109
45,jdressell18,2551,1036,11484
47,srowett1a,2537,2012,18288
48,ahodgins1b,2123,2682,17866
50,lbarribal1d,2635,2003,19827
52,scawse1f,2867,1859,11091
56,mtithecott1j,2397,894,15513
63,cgossling1q,2427,2778,18030
66,eantusch1t,2596,419,15099
67,chintzer1u,2825,2456,12364
69,gletts1w,2324,1405,10761
71,tmckeaney1y,2901,541,13462
75,agehringer22,2708,602,18896
78,pboyack25,2650,2877,12695
79,kklemencic26,2822,2743,18663
80,mvossgen27,2971,1506,16082
82,rphilp29,2625,1935,18994
85,fstollhofer2c,2235,3224,15585
86,choggin2d,2567,439,19980
88,lholbarrow2f,2740,887,11988
92,udubock2j,2943,3423,15147
97,gmacsharry2o,2236,966,18798
99,apetrecz2q,2843,2575,13087
